,,,,,,"Art","Art",,,,,,,,,,
"id","Asset Name","Status","Description","Thumbnail","Tags","id","Status","group_props","type_props","Shots","Task Template","Episode","Difficulty","Type","Date Created","Project",
"7112","chars_agnessa","fin","Агнесса Локко","http:///file_proxy/thumbnail/387695","","109958","fin","chars","chars_supporting","ep023seq08sh21, ep023seq08sh22, ep023seq09sh01, ep023seq09sh02, ep023seq09sh04, ep023seq09sh05, ep023seq09sh06, ep023seq09sh08, ep023seq09sh09, ep023seq09sh14, ep023seq09sh16, ep023seq10sh07, ep023seq10sh08, ep023seq11sh01, ep023seq11sh03, ep023seq11sh04, ep023seq11sh05, ep023seq11sh06, ep023seq12sh02, ep023seq13sh01, ep023seq13sh02, ep023seq13sh03, ep023seq13sh05, ep023seq13sh06, ep023seq13sh07, ep023seq14sh02, ep023seq14sh03, ep023seq14sh05, ep023seq14sh06, ep023seq14sh08","Assets","ep023","","characters","2021/01/27 11:16:33 AM","LEX&PLU",
"4249","chars_anna_maria","fin","крольчиха 2 дня","http:///file_proxy/thumbnail/295155","","86847","fin","chars","chars_supporting","","Assets","ep008","","characters","2020/03/30 03:12:32 PM","LEX&PLU",
"5447","chars_antuan","fin","Антуан","http:///file_proxy/thumbnail/366882","","96905","fin","chars","chars_supporting","ep015seq01sh07, ep015seq01sh09, ep015seq04sh04, ep015seq04sh06, ep015seq04sh10, ep015seq04sh11, ep015seq04sh12, ep015seq04sh13, ep015seq05sh01, ep015seq05sh03, ep015seq05sh05, ep015seq05sh06, ep015seq05sh07, ep015seq05sh10, ep015seq05sh11, ep015seq05sh13, ep015seq05sh14, ep015seq07sh02, ep015seq07sh04, ep015seq07sh06, ep015seq07sh08, ep015seq07sh13, ep015seq08sh01, ep015seq08sh04, ep015seq08sh05, ep015seq08sh13, ep021seq11sh01, ep021seq11sh03, ep021seq11sh07, ep021seq11sh09, ep021seq12sh01, ep021seq12sh02, ep021seq12sh04, ep021seq12sh05, ep021seq12sh09","Assets","ep015, ep021","3 - difficult","characters","2020/09/01 03:45:16 PM","LEX&PLU",
"3396","chars_artur","fin","","http:///file_proxy/thumbnail/295173","","78654","fin","chars","chars_supporting","ep021seq01sh09","Assets","ep002, ep021","","characters","2019/08/16 05:38:02 PM","LEX&PLU",
"4218","chars_bella","fin","Белла 2 дня","http:///file_proxy/thumbnail/259690","","86816","fin","chars","chars_supporting","ep008seq03sh02, ep011seq06sh01, ep011seq06sh04, ep011seq06sh05, ep011seq06sh07, ep011seq06sh08, ep011seq06sh09, ep011seq06sh10, ep011seq06sh11, ep011seq06sh12, ep011seq13sh04, ep011seq13sh05, ep011seq16sh01, ep011seq16sh05, ep011seq16sh07, ep011seq16sh08, ep011seq16sh10, ep012seq11sh13, ep012seq11sh17, ep018seq02sh04, ep018seq02sh05, ep018seq02sh07, ep018seq02sh09, ep018seq02sh10, ep018seq04sh13, ep018seq04sh14, ep018seq04sh16, ep018seq06sh06, ep018seq06sh07, ep018seq07sh04, ep018seq08sh06, ep018seq08sh08, ep018seq09sh06, ep018seq11sh05, ep018seq11sh08, ep018seq11sh11, ep018seq11sh13, ep018seq11sh15, ep018seq11sh16, ep018seq11sh18, ep018seq11sh22, ep018seq12sh06, ep018seq12sh10, ep018seq13sh06","Assets","ep008","","characters","2020/03/30 08:36:19 AM","LEX&PLU",
"5586","chars_benedict","fin","предсказатель Бенедикт","http:///file_proxy/thumbnail/307375","","97045","fin","chars","chars_supporting","ep016seq02sh04, ep016seq02sh05, ep016seq02sh06, ep016seq02sh07, ep016seq02sh08, ep016seq02sh09, ep016seq02sh10, ep016seq02sh11, ep016seq02sh12, ep016seq02sh13, ep016seq03sh02, ep016seq03sh03, ep016seq03sh04, ep016seq03sh05, ep016seq03sh06, ep016seq03sh07, ep016seq03sh08, ep016seq03sh09, ep016seq03sh10, ep016seq03sh11, ep016seq03sh13, ep016seq03sh15, ep016seq03sh17, ep016seq03sh18, ep016seq03sh19, ep016seq03sh21, ep016seq03sh22, ep016seq03sh23, ep016seq03sh25, ep016seq03sh28, ep016seq03sh30, ep016seq03sh31, ep016seq03sh32, ep016seq03sh33, ep016seq04sh01, ep016seq04sh05, ep016seq04sh06, ep016seq04sh07, ep016seq06sh01, ep016seq06sh02, ep016seq06sh04, ep016seq07sh02, ep016seq07sh05, ep016seq07sh06, ep016seq07sh08, ep016seq08sh02, ep016seq08sh04, ep016seq08sh05, ep016seq08sh06, ep016seq09sh02, ep016seq09sh03, ep016seq09sh04, ep016seq09sh13, ep016seq09sh15, ep016seq09sh17, ep016seq09sh19, ep016seq11sh03","Assets","ep016","","characters","2020/09/04 03:10:26 PM","LEX&PLU",
"3709","chars_berdi","ip","берди","http:///file_proxy/thumbnail/218985","","82590","rdy","chars","chars_supporting","ep005seq03sh10, ep005seq03sh11, ep005seq03sh13, ep005seq04sh01, ep005seq04sh02, ep005seq04sh05, ep005seq04sh07, ep005seq13sh11, ep005seq13sh12, ep005seq13sh14, ep005seq13sh15, ep005seq13sh16, ep005seq14sh01, ep005seq14sh04, ep005seq14sh05, ep005seq14sh06, ep005seq14sh07, ep005seq14sh10, ep005seq14sh11, ep005seq14sh12, ep005seq15sh01, ep005seq16sh01, ep005seq16sh04, ep005seq16sh06, ep005seq16sh07, ep013seq11sh01, ep015seq07sh10, ep015seq07sh22, ep015seq08sh01, ep015seq08sh03, ep015seq08sh05, ep015seq08sh06, ep015seq08sh10, ep015seq08sh12, ep015seq08sh15, ep020seq02sh18, ep020seq02sh19","Assets","ep005, ep020","","characters","2020/02/13 08:20:21 AM","LEX&PLU",
"5426","chars_binesi","wtg","ежики","","","96222","rdy","chars","chars_supporting","","Assets","","","characters","2020/08/26 03:42:46 PM","LEX&PLU",
"5425","chars_boni","fin","крыса Бони","http:///file_proxy/thumbnail/295177","","96221","fin","chars","chars_supporting","ep023seq13sh02","Assets","ep004","","characters","2020/08/26 03:38:02 PM","LEX&PLU",
