,,,,,,,,"Master BG","Master BG","Layout","Layout","Layout","Layout","Layout","Layout","Layout",,"Import BG","Import BG","Animation","Animation","FX","FX",,,,
"id","Shot Code","Status","Thumbnail","Cut Duration","Description","Assets","Camera in scene","id","Status","id","Status","Task Name","Assigned To","Start","End","Payment","Assets ALL TASKS Status Summary","id","Status","id","Status","id","Status","Task Template","Sequence","Project",
"31131","ep017seq01sh01","ip","http:///file_proxy/thumbnail/366297","71","add","props_transformer_car_001, sets_outskirts_006","no_c","97405","wtg","97402","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97404","wtg","97401","fin","97403","rdy","Shot","ep017seq01","LEX&PLU",
"31132","ep017seq01sh02","ip","http:///file_proxy/thumbnail/369894","113","add","props_transformer_car_001, sets_outskirts_007","no_c","97410","wtg","97407","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97409","wtg","97406","fin","97408","rdy","Shot","ep017seq01","LEX&PLU",
"31133","ep017seq01sh03","ip","http:///file_proxy/thumbnail/366293","122","add","props_ helm_003, sets_outskirts_008","no_c","97415","wtg","97412","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97414","wtg","97411","fin","97413","rdy","Shot","ep017seq01","LEX&PLU",
"31134","ep017seq01sh04","ip","http:///file_proxy/thumbnail/349231","39","add","chars_cilya_chikens, props_ helm_003, sets_outskirts_012","no_c","97420","wtg","97417","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97419","wtg","97416","omt","97418","wtg","Shot","ep017seq01","LEX&PLU",
"31135","ep017seq01sh05","ip","http:///file_proxy/thumbnail/365969","53","add","chars_cilya_chikens, props_basket_001, props_book_004, props_doors_005, sets_outskirts_009","no_c","97425","wtg","97422","fin","Layout","Alexandra Chigrinskaya","","","fin","ip","97424","wtg","97421","fin","97423","rdy","Shot","ep017seq01","LEX&PLU",
"31136","ep017seq01sh06","ip","http:///file_proxy/thumbnail/374626","132","add","chars_cilya_chikens, props_ helm_003, props_basket_001, sets_outskirts_007","no_c","97430","wtg","97427","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97429","wtg","97426","fin","97428","rdy","Shot","ep017seq01","LEX&PLU",
"31137","ep017seq01sh07","ip","http:///file_proxy/thumbnail/367367","61","add","chars_cilya_chikens, props_basket_001, props_book_004, sets_outskirts_008","no_c","97435","wtg","97432","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97434","wtg","97431","fin","97433","rdy","Shot","ep017seq01","LEX&PLU",
"31138","ep017seq01sh08","ip","http:///file_proxy/thumbnail/367308","83","add","chars_cilya_chikens, props_ helm_003, props_basket_001, sets_outskirts_008","no_c","97440","wtg","97437","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97439","wtg","97436","fin","97438","rdy","Shot","ep017seq01","LEX&PLU",
"31139","ep017seq01sh09","ip","http:///file_proxy/thumbnail/368952","226","add","chars_cilya_chikens, props_ helm_003, props_basket_001, sets_car_003, sets_outskirts_010","no_c","97445","wtg","97442","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97444","wtg","97441","fin","97443","rdy","Shot","ep017seq01","LEX&PLU",
"31140","ep017seq01sh10","ip","http:///file_proxy/thumbnail/368791","38","add","chars_cilya_chikens, props_basket_001, props_book_004, sets_car_060","no_c","97450","wtg","97447","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97449","wtg","97446","fin","97448","rdy","Shot","ep017seq01","LEX&PLU",
"31141","ep017seq01sh11","ip","http:///file_proxy/thumbnail/367518","127","add","chars_cilya_chikens, props_ helm_003, props_book_004, sets_car_001_2, sets_outskirts_010","no_c","97455","wtg","97452","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97454","wtg","97451","fin","97453","rdy","Shot","ep017seq01","LEX&PLU",
"31142","ep017seq01sh12","ip","http:///file_proxy/thumbnail/369576","155","add","chars_cilya_chikens, props_book_004, sets_car _006b, sets_outskirts_011","no_c","97460","wtg","97457","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97459","wtg","97456","fin","97458","rdy","Shot","ep017seq01","LEX&PLU",
"31143","ep017seq01sh13","ip","http:///file_proxy/thumbnail/368787","182","add","chars_cilya_chikens, props_ helm_003, props_book_004, sets_car_001_2, sets_outskirts_010","no_c","97465","wtg","97462","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97464","wtg","97461","fin","97463","rdy","Shot","ep017seq01","LEX&PLU",
"31144","ep017seq01sh14","ip","http:///file_proxy/thumbnail/373382","162","add","chars_cilya_chikens, props_ helm_003, props_basket_001, props_book_004, sets_car_003, sets_outskirts_010","no_c","97470","wtg","97467","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97469","wtg","97466","fin","97468","rdy","Shot","ep017seq01","LEX&PLU",
"31145","ep017seq01sh15","ip","http:///file_proxy/thumbnail/373151","100","add","chars_cilya_chikens, props_ helm_003, sets_car_001_2, sets_outskirts_010","no_c","97475","wtg","97472","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97474","wtg","97471","fin","97473","rdy","Shot","ep017seq01","LEX&PLU",
"31146","ep017seq01sh16","ip","http:///file_proxy/thumbnail/368250","44","add","chars_cilya_chikens, props_ helm_003, sets_car_003, sets_outskirts_010","no_c","97480","wtg","97477","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97479","wtg","97476","fin","97478","wtg","Shot","ep017seq01","LEX&PLU",
"31147","ep017seq01sh17","ip","http:///file_proxy/thumbnail/371875","170","add","chars_cilya_chikens, props_ helm_003, props_basket_001, sets_car_003, sets_outskirts_010","no_c","97485","wtg","97482","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97484","wtg","97481","fin","97483","rdy","Shot","ep017seq01","LEX&PLU",
"31148","ep017seq01sh18","ip","http:///file_proxy/thumbnail/367431","38","add","sets_outskirts_013","no_c","97490","wtg","97487","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97489","wtg","97486","fin","97488","wtg","Shot","ep017seq01","LEX&PLU",
"31149","ep017seq01sh19","ip","http:///file_proxy/thumbnail/372354","200","add","chars_cilya_chikens, props_ helm_003, props_basket_001, sets_car_003, sets_car_010b, sets_outskirts_010","no_c","97495","wtg","97492","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97494","wtg","97491","fin","97493","rdy","Shot","ep017seq01","LEX&PLU",
"31150","ep017seq01sh20","ip","http:///file_proxy/thumbnail/366820","154","add","chars_cilya_chikens, props_ helm_003, sets_car_056, sets_outskirts_010","no_c","97500","wtg","97497","fin","Layout","Alexandra Chigrinskaya","","","fin","fin","97499","wtg","97496","fin","97498","rdy","Shot","ep017seq01","LEX&PLU",
"31151","ep017seq02sh01","ip","http:///file_proxy/thumbnail/353058","75","","props_traffic_003, props_transformer_car_001","no_c","97505","wtg","97502","fin","Layout","Anastasia Kulikova","","","fin","fin","97504","wtg","97501","fin","97503","rdy","Shot","ep017seq02","LEX&PLU",
"31152","ep017seq02sh02","ip","http:///file_proxy/thumbnail/355566","117","add","chars_cilya_chikens, props_ helm_003, props_basket_001, sets_car_003","no_c","97510","wtg","97507","fin","Layout","Anastasia Kulikova","","","fin","fin","97509","wtg","97506","fin","97508","rdy","Shot","ep017seq02","LEX&PLU",
"31153","ep017seq02sh03","ip","http:///file_proxy/thumbnail/356505","40","add","chars_cilya_chikens, props_basket_001, sets_car_060","no_c","97515","wtg","97512","fin","Layout","Anastasia Kulikova","","","fin","fin","97514","wtg","97511","fin","97513","rdy","Shot","ep017seq02","LEX&PLU",
"31154","ep017seq02sh04","ip","http:///file_proxy/thumbnail/356517","73","add","chars_cilya_chikens, props_ helm_003, props_basket_001, sets_car_003","no_c","97520","wtg","97517","fin","Layout","Anastasia Kulikova","","","fin","fin","97519","wtg","97516","fin","97518","rdy","Shot","ep017seq02","LEX&PLU",
"31155","ep017seq02sh05","ip","http:///file_proxy/thumbnail/343561","34","add","sets_car_009","no_c","97525","wtg","97522","fin","Layout","Anastasia Kulikova","","","fin","fin","97524","wtg","97521","fin","97523","rdy","Shot","ep017seq02","LEX&PLU",
"31156","ep017seq02sh06","ip","http:///file_proxy/thumbnail/351458","58","подставить другой эвакуатор и передать в анимацию","props_transformer_car_001, props_truck_001","no_c","97530","wtg","97527","fin","Layout","Anastasia Kulikova","","","fin","fin","97529","wtg","97526","fin","97528","rdy","Shot","ep017seq02","LEX&PLU",
"31157","ep017seq02sh07","ip","http:///file_proxy/thumbnail/347071","63","после анимации добавить свет фар эвакуатору, взять из такси Лекса","chars_cilya_chikens, props_ helm_003, props_truck_001, sets_car_001_2","no_c","97535","wtg","97532","fin","Layout","Anastasia Kulikova","","","fin","fin","97534","wtg","97531","fin","97533","rdy","Shot","ep017seq02","LEX&PLU",
"31158","ep017seq02sh08","ip","http:///file_proxy/thumbnail/368847","89","из фона берем только машину","props_truck_001, sets_outskirts_011","no_c","97540","wtg","97537","fin","Layout","Anastasia Kulikova","","","fin","fin","97539","wtg","97536","fin","97538","rdy","Shot","ep017seq02","LEX&PLU",
"31159","ep017seq02sh09","ip","http:///file_proxy/thumbnail/344177","121","add","chars_cilya_chikens, props_ helm_003, props_book_004, sets_car_001_2","no_c","97545","wtg","97542","fin","Layout","Anastasia Kulikova","","","fin","fin","97544","wtg","97541","fin","97543","rdy","Shot","ep017seq02","LEX&PLU",
"31160","ep017seq02sh10","ip","http:///file_proxy/thumbnail/357486","72","add","chars_cilya_chikens, props_ helm_003, props_book_004, sets_car_056","no_c","97550","wtg","97547","fin","Layout","Anastasia Kulikova","","","fin","fin","97549","wtg","97546","fin","97548","rdy","Shot","ep017seq02","LEX&PLU",
